id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,744,328,5030,3214,2556,100.00,100.00,50.00,100.00,2.268,0.148,0.231,0.291
values_30,264,128,1815,1159,911,100.00,100.00,50.00,100.00,2.062,0.145,0.228,0.290
values_96,56,48,510,301,232,100.00,100.00,75.00,100.00,1.167,0.110,0.186,0.241
values_15,2032,856,13606,8686,6956,100.00,100.00,50.00,100.00,2.374,0.149,0.234,0.292
values_16,3162,1316,21111,13471,10811,100.00,100.00,50.00,100.00,2.403,0.150,0.235,0.292
values_94,264,128,1815,1159,911,100.00,100.00,50.00,100.00,2.062,0.145,0.228,0.290
values_90,1664,716,11224,7126,5702,100.00,100.00,75.00,100.00,2.324,0.148,0.234,0.292
values_52,2060,888,13922,8806,7056,100.00,100.00,75.00,100.00,2.320,0.148,0.234,0.292
values_78,3162,1316,21111,13471,10811,100.00,100.00,50.00,100.00,2.403,0.150,0.235,0.292
values_20,426,196,2903,1855,1467,100.00,100.00,50.00,100.00,2.173,0.147,0.230,0.290
values_53,2046,872,13764,8746,7006,100.00,100.00,75.00,100.00,2.346,0.149,0.234,0.292
values_43,870,380,5871,3751,2987,100.00,100.00,50.00,100.00,2.289,0.148,0.232,0.291
values_42,522,236,3546,2266,1796,100.00,100.00,50.00,100.00,2.212,0.147,0.230,0.291
values_0,536,252,3704,2326,1846,100.00,100.00,75.00,100.00,2.127,0.145,0.230,0.290
values_61,2245,948,15054,9589,7684,100.00,100.00,75.00,100.00,2.368,0.149,0.234,0.292
values_97,3960,1640,26406,16846,13532,100.00,100.00,50.00,100.00,2.415,0.150,0.235,0.293
values_14,635,288,4334,2749,2184,100.00,100.00,75.00,100.00,2.205,0.147,0.231,0.291
values_87,361,184,2563,1576,1247,100.00,100.00,75.00,100.00,1.962,0.141,0.229,0.289
values_50,198,100,1370,874,684,100.00,100.00,50.00,100.00,1.980,0.145,0.227,0.289
values_83,536,252,3704,2326,1846,100.00,100.00,75.00,100.00,2.127,0.145,0.230,0.290
values_67,3967,1648,26485,16876,13557,100.00,100.00,75.00,100.00,2.407,0.150,0.235,0.293
values_86,340,160,2326,1486,1172,100.00,100.00,50.00,100.00,2.125,0.146,0.229,0.290
values_23,85,64,757,460,357,100.00,100.00,75.00,100.00,1.328,0.112,0.185,0.238
values_64,5185,2152,34627,22024,17711,100.00,100.00,75.00,100.00,2.409,0.150,0.235,0.293
values_44,198,100,1370,874,684,100.00,100.00,50.00,100.00,1.980,0.145,0.227,0.289
values_71,1474,628,9895,6319,5051,100.00,100.00,50.00,100.00,2.347,0.149,0.233,0.292
values_93,2923,1224,19557,12460,9997,100.00,100.00,75.00,100.00,2.388,0.149,0.235,0.292
values_88,2916,1216,19478,12430,9972,100.00,100.00,50.00,100.00,2.398,0.150,0.235,0.292
values_26,744,328,5030,3214,2556,100.00,100.00,50.00,100.00,2.268,0.148,0.231,0.291
values_59,529,244,3625,2296,1821,100.00,100.00,75.00,100.00,2.168,0.146,0.230,0.290
values_57,1152,496,7751,4951,3951,100.00,100.00,50.00,100.00,2.323,0.149,0.233,0.292
values_82,212,116,1528,934,734,100.00,100.00,75.00,100.00,1.828,0.139,0.227,0.289
values_75,5818,2008,32374,20629,16584,100.00,100.00,75.00,100.00,2.897,0.180,0.282,0.351
values_51,1308,560,8790,5614,4484,100.00,100.00,50.00,100.00,2.336,0.149,0.233,0.292
values_7,5096,1764,28382,18085,14532,100.00,100.00,75.00,100.00,2.889,0.180,0.282,0.351
values_92,264,128,1815,1159,911,100.00,100.00,50.00,100.00,2.062,0.145,0.228,0.290
values_56,4414,1528,24575,15679,12591,100.00,100.00,50.00,100.00,2.889,0.180,0.282,0.351
values_47,3418,1420,22810,14554,11684,100.00,100.00,50.00,100.00,2.407,0.150,0.235,0.293
values_95,198,100,1370,874,684,100.00,100.00,50.00,100.00,1.980,0.145,0.227,0.289
values_98,2454,1028,16410,10474,8396,100.00,100.00,50.00,100.00,2.387,0.150,0.234,0.292
values_8,340,160,2326,1486,1172,100.00,100.00,50.00,100.00,2.125,0.146,0.229,0.290
values_18,205,108,1449,904,709,100.00,100.00,75.00,100.00,1.898,0.141,0.227,0.289
values_28,3967,1648,26485,16876,13557,100.00,100.00,75.00,100.00,2.407,0.150,0.235,0.293
values_81,870,380,5871,3751,2987,100.00,100.00,50.00,100.00,2.289,0.148,0.232,0.291
values_17,1013,444,6857,4360,3477,100.00,100.00,75.00,100.00,2.282,0.148,0.232,0.291
values_38,340,160,2326,1486,1172,100.00,100.00,50.00,100.00,2.125,0.146,0.229,0.290
