id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,72,126,310,274,258,100.00,80.00,50.00,100.00,0.571,0.232,0.263,0.279
values_30,82,185,431,337,360,100.00,80.00,50.00,100.00,0.443,0.190,0.243,0.228
values_96,104,172,432,394,360,100.00,80.00,50.00,100.00,0.605,0.241,0.264,0.289
values_15,102,184,452,395,377,100.00,80.00,50.00,100.00,0.554,0.226,0.258,0.271
values_16,72,140,336,282,280,100.00,80.00,50.00,100.00,0.514,0.214,0.255,0.257
values_94,88,177,423,350,353,100.00,80.00,50.00,100.00,0.497,0.208,0.251,0.249
values_90,112,201,495,434,413,100.00,80.00,50.00,100.00,0.557,0.226,0.258,0.271
values_52,84,180,424,340,354,100.00,80.00,50.00,100.00,0.467,0.198,0.247,0.237
values_78,86,133,339,319,282,100.00,80.00,50.00,100.00,0.647,0.254,0.270,0.305
values_20,92,167,409,356,341,100.00,80.00,50.00,100.00,0.551,0.225,0.258,0.270
values_53,276,323,909,984,757,100.00,80.00,50.00,100.00,0.854,0.304,0.280,0.365
values_43,54,115,269,215,224,100.00,80.00,50.00,100.00,0.470,0.201,0.251,0.241
values_42,112,173,443,418,369,100.00,80.00,50.00,100.00,0.647,0.253,0.268,0.304
values_0,142,189,507,515,422,100.00,80.00,50.00,100.00,0.751,0.280,0.276,0.336
values_61,174,235,629,635,524,100.00,80.00,50.00,100.00,0.740,0.277,0.274,0.332
values_97,84,152,372,324,310,100.00,80.00,50.00,100.00,0.553,0.226,0.259,0.271
values_14,88,156,384,338,320,100.00,80.00,50.00,100.00,0.564,0.229,0.260,0.275
values_87,96,164,408,366,340,100.00,80.00,50.00,100.00,0.585,0.235,0.262,0.282
values_50,98,187,453,385,378,100.00,80.00,50.00,100.00,0.524,0.216,0.255,0.259
values_83,102,163,413,383,344,100.00,80.00,50.00,100.00,0.626,0.247,0.266,0.297
values_67,68,108,272,252,226,100.00,80.00,50.00,100.00,0.630,0.250,0.270,0.301
values_86,74,149,355,293,296,100.00,80.00,50.00,100.00,0.497,0.208,0.253,0.250
values_23,116,170,442,428,368,100.00,80.00,50.00,100.00,0.682,0.262,0.271,0.315
values_64,430,470,1358,1519,1131,100.00,80.00,50.00,100.00,0.915,0.317,0.283,0.380
values_44,206,267,725,747,604,100.00,80.00,50.00,100.00,0.772,0.284,0.276,0.341
values_71,102,163,413,383,344,100.00,80.00,50.00,100.00,0.626,0.247,0.266,0.297
values_93,856,882,2610,3002,2174,100.00,80.00,50.00,100.00,0.971,0.328,0.285,0.394
values_88,168,208,572,602,476,100.00,80.00,50.00,100.00,0.808,0.294,0.279,0.353
values_26,162,202,554,581,461,100.00,80.00,50.00,100.00,0.802,0.292,0.279,0.351
values_59,172,261,675,644,563,100.00,80.00,50.00,100.00,0.659,0.255,0.267,0.306
values_57,90,158,390,345,325,100.00,80.00,50.00,100.00,0.570,0.231,0.261,0.277
values_82,82,164,392,325,327,100.00,80.00,50.00,100.00,0.500,0.209,0.252,0.251
values_75,102,163,413,383,344,100.00,80.00,50.00,100.00,0.626,0.247,0.266,0.297
values_51,90,172,416,353,347,100.00,80.00,50.00,100.00,0.523,0.216,0.255,0.259
values_7,84,159,385,328,321,100.00,80.00,50.00,100.00,0.528,0.218,0.256,0.262
values_92,98,159,401,369,334,100.00,80.00,50.00,100.00,0.616,0.244,0.266,0.293
values_56,190,279,729,707,608,100.00,80.00,50.00,100.00,0.681,0.261,0.269,0.312
values_47,72,133,323,278,269,100.00,80.00,50.00,100.00,0.541,0.223,0.259,0.268
values_95,80,141,347,306,289,100.00,80.00,50.00,100.00,0.567,0.231,0.261,0.277
values_98,160,228,600,590,500,100.00,80.00,50.00,100.00,0.702,0.267,0.271,0.320
values_8,106,139,373,381,310,100.00,80.00,50.00,100.00,0.763,0.284,0.278,0.342
values_18,76,151,361,300,301,100.00,80.00,50.00,100.00,0.503,0.211,0.253,0.252
values_28,90,158,390,345,325,100.00,80.00,50.00,100.00,0.570,0.231,0.261,0.277
values_81,130,198,510,485,425,100.00,80.00,50.00,100.00,0.657,0.255,0.268,0.306
values_17,78,153,367,307,306,100.00,80.00,50.00,100.00,0.510,0.213,0.254,0.255
values_38,68,129,311,264,259,100.00,80.00,50.00,100.00,0.527,0.219,0.258,0.263
values_41,158,233,607,587,506,100.00,80.00,50.00,100.00,0.678,0.260,0.269,0.312
values_73,88,135,345,326,287,100.00,80.00,50.00,100.00,0.652,0.255,0.270,0.307
values_66,106,174,438,401,365,100.00,80.00,50.00,100.00,0.609,0.242,0.264,0.290
values_58,98,166,414,373,345,100.00,80.00,50.00,100.00,0.590,0.237,0.263,0.284
values_70,96,178,434,374,362,100.00,80.00,50.00,100.00,0.539,0.221,0.257,0.265
values_46,110,164,424,407,353,100.00,80.00,50.00,100.00,0.671,0.259,0.270,0.312
values_11,244,298,826,876,688,100.00,80.00,50.00,100.00,0.819,0.295,0.279,0.355
values_33,224,271,753,802,627,100.00,80.00,50.00,100.00,0.827,0.297,0.279,0.357
values_72,86,161,391,335,326,100.00,80.00,50.00,100.00,0.534,0.220,0.257,0.264
values_6,64,125,299,250,249,100.00,80.00,50.00,100.00,0.512,0.214,0.256,0.257
values_10,80,162,386,318,322,100.00,80.00,50.00,100.00,0.494,0.207,0.252,0.248
values_27,88,149,371,334,309,100.00,80.00,50.00,100.00,0.591,0.237,0.263,0.285
values_24,446,486,1406,1575,1171,100.00,80.00,50.00,100.00,0.918,0.317,0.283,0.381
values_3,74,128,316,281,263,100.00,80.00,50.00,100.00,0.578,0.234,0.263,0.281
values_69,228,275,765,816,637,100.00,80.00,50.00,100.00,0.829,0.298,0.279,0.358
values_36,74,142,342,289,285,100.00,80.00,50.00,100.00,0.521,0.216,0.256,0.260
values_21,86,175,417,343,348,100.00,80.00,50.00,100.00,0.491,0.206,0.251,0.247
values_5,84,159,385,328,321,100.00,80.00,50.00,100.00,0.528,0.218,0.256,0.262
values_49,208,248,692,742,576,100.00,80.00,50.00,100.00,0.839,0.301,0.280,0.361
values_1,998,1059,3101,3519,2584,100.00,80.00,50.00,100.00,0.942,0.322,0.284,0.386
values_2,86,147,365,327,304,100.00,80.00,50.00,100.00,0.585,0.236,0.263,0.283
values_13,522,562,1634,1841,1361,100.00,80.00,50.00,100.00,0.929,0.319,0.284,0.384
values_32,96,164,408,366,340,100.00,80.00,50.00,100.00,0.585,0.235,0.262,0.282
values_39,112,180,456,422,380,100.00,80.00,50.00,100.00,0.622,0.246,0.265,0.295
values_4,92,174,422,360,352,100.00,80.00,50.00,100.00,0.529,0.218,0.256,0.261
values_65,102,156,400,379,333,100.00,80.00,50.00,100.00,0.654,0.255,0.269,0.306
values_85,72,161,375,294,313,100.00,80.00,50.00,100.00,0.447,0.192,0.245,0.230
values_62,128,182,478,470,398,100.00,80.00,50.00,100.00,0.703,0.268,0.272,0.322
values_91,92,181,435,364,363,100.00,80.00,50.00,100.00,0.508,0.211,0.253,0.253
values_25,126,187,485,467,404,100.00,80.00,50.00,100.00,0.674,0.260,0.270,0.312
values_63,48,95,225,186,187,100.00,80.00,50.00,100.00,0.505,0.213,0.258,0.257
values_12,88,163,397,342,331,100.00,80.00,50.00,100.00,0.540,0.222,0.257,0.266
values_79,98,159,401,369,334,100.00,80.00,50.00,100.00,0.616,0.244,0.266,0.293
values_54,126,187,485,467,404,100.00,80.00,50.00,100.00,0.674,0.260,0.270,0.312
values_9,86,140,352,323,293,100.00,80.00,50.00,100.00,0.614,0.244,0.266,0.294
values_74,82,143,353,313,294,100.00,80.00,50.00,100.00,0.573,0.232,0.262,0.279
values_22,84,145,359,320,299,100.00,80.00,50.00,100.00,0.579,0.234,0.263,0.281
values_89,100,196,472,396,394,100.00,80.00,50.00,100.00,0.510,0.212,0.253,0.254
values_48,108,162,418,400,348,100.00,80.00,50.00,100.00,0.667,0.258,0.270,0.310
values_99,84,187,437,344,365,100.00,80.00,50.00,100.00,0.449,0.192,0.244,0.230
values_60,164,204,560,588,466,100.00,80.00,50.00,100.00,0.804,0.293,0.279,0.352
values_34,72,147,349,286,291,100.00,80.00,50.00,100.00,0.490,0.206,0.252,0.247
values_31,94,169,415,363,346,100.00,80.00,50.00,100.00,0.556,0.227,0.259,0.272
values_37,290,323,925,1025,770,100.00,80.00,50.00,100.00,0.898,0.314,0.283,0.377
values_76,164,204,560,588,466,100.00,80.00,50.00,100.00,0.804,0.293,0.279,0.352
values_19,392,425,1231,1382,1025,100.00,80.00,50.00,100.00,0.922,0.318,0.284,0.382
values_45,98,159,401,369,334,100.00,80.00,50.00,100.00,0.616,0.244,0.266,0.293
values_68,260,293,835,920,695,100.00,80.00,50.00,100.00,0.887,0.311,0.283,0.374
values_35,310,350,998,1099,831,100.00,80.00,50.00,100.00,0.886,0.311,0.282,0.373
values_80,94,162,402,359,335,100.00,80.00,50.00,100.00,0.580,0.234,0.262,0.281
values_77,70,138,330,275,275,100.00,80.00,50.00,100.00,0.507,0.212,0.255,0.255
values_29,104,186,458,402,382,100.00,80.00,50.00,100.00,0.559,0.227,0.259,0.272
values_55,92,167,409,356,341,100.00,80.00,50.00,100.00,0.551,0.225,0.258,0.270
values_40,118,186,474,443,395,100.00,80.00,50.00,100.00,0.634,0.249,0.266,0.299
