id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,139579,160456,745939,540793,313787,100.00,100.00,50.00,100.00,0.870,0.187,0.258,0.445
values_30,23621,28905,132543,95670,56327,100.00,100.00,50.00,100.00,0.817,0.178,0.247,0.419
values_96,23621,28905,132543,95670,56327,100.00,100.00,50.00,100.00,0.817,0.178,0.247,0.419
values_15,42688,51006,235184,169983,99487,100.00,100.00,50.00,100.00,0.837,0.182,0.251,0.429
values_16,71103,83935,388555,281200,163883,100.00,100.00,50.00,100.00,0.847,0.183,0.253,0.434
values_94,5291,6819,30587,22044,13489,100.00,100.00,50.00,100.00,0.776,0.173,0.240,0.392
values_90,26208,38779,178357,128824,75602,100.00,100.00,50.00,100.00,0.676,0.147,0.203,0.347
values_52,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_78,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_20,59,180,608,461,411,100.00,100.00,50.00,100.00,0.328,0.097,0.128,0.144
values_53,8096,10281,46479,33498,20012,100.00,100.00,50.00,100.00,0.787,0.174,0.242,0.405
values_43,14194,21060,96215,69405,41023,100.00,100.00,50.00,100.00,0.674,0.148,0.205,0.346
values_42,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_0,8096,10281,46479,33498,20012,100.00,100.00,50.00,100.00,0.787,0.174,0.242,0.405
values_61,213,384,1467,1089,1023,100.00,100.00,50.00,100.00,0.555,0.145,0.196,0.208
values_97,538,781,3199,2338,1533,100.00,100.00,50.00,100.00,0.689,0.168,0.230,0.351
values_14,26208,38779,178357,128824,75602,100.00,100.00,50.00,100.00,0.676,0.147,0.203,0.347
values_87,14194,21060,96215,69405,41023,100.00,100.00,50.00,100.00,0.674,0.148,0.205,0.346
values_50,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_83,169433,194949,907295,658122,381439,100.00,100.00,50.00,100.00,0.869,0.187,0.257,0.444
values_67,3348,4330,19213,13855,8583,100.00,100.00,50.00,100.00,0.773,0.174,0.242,0.390
values_86,8096,10281,46479,33498,20012,100.00,100.00,50.00,100.00,0.787,0.174,0.242,0.405
values_23,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_64,139579,160456,745939,540793,313787,100.00,100.00,50.00,100.00,0.870,0.187,0.258,0.445
values_44,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_71,1068,1479,6305,4572,2932,100.00,100.00,50.00,100.00,0.722,0.169,0.234,0.364
values_93,1958,2610,11400,8235,5181,100.00,100.00,50.00,100.00,0.750,0.172,0.238,0.378
values_88,26208,38779,178357,128824,75602,100.00,100.00,50.00,100.00,0.676,0.147,0.203,0.347
values_26,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_59,112316,130764,607152,439929,255587,100.00,100.00,50.00,100.00,0.859,0.185,0.255,0.439
values_57,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_82,139579,160456,745939,540793,313787,100.00,100.00,50.00,100.00,0.870,0.187,0.258,0.445
values_75,112316,130764,607152,439929,255587,100.00,100.00,50.00,100.00,0.859,0.185,0.255,0.439
values_51,169433,194949,907295,658122,381439,100.00,100.00,50.00,100.00,0.869,0.187,0.257,0.444
values_7,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_92,14194,21060,96215,69405,41023,100.00,100.00,50.00,100.00,0.674,0.148,0.205,0.346
values_56,5291,6819,30587,22044,13489,100.00,100.00,50.00,100.00,0.776,0.173,0.240,0.392
values_47,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_95,5291,6819,30587,22044,13489,100.00,100.00,50.00,100.00,0.776,0.173,0.240,0.392
values_98,55628,65934,304665,220347,128669,100.00,100.00,50.00,100.00,0.844,0.183,0.252,0.432
values_8,23621,28905,132543,95670,56327,100.00,100.00,50.00,100.00,0.817,0.178,0.247,0.419
values_18,1068,1479,6305,4572,2932,100.00,100.00,50.00,100.00,0.722,0.169,0.234,0.364
values_28,26208,38779,178357,128824,75602,100.00,100.00,50.00,100.00,0.676,0.147,0.203,0.347
values_81,71103,83935,388555,281200,163883,100.00,100.00,50.00,100.00,0.847,0.183,0.253,0.434
values_17,71103,83935,388555,281200,163883,100.00,100.00,50.00,100.00,0.847,0.183,0.253,0.434
values_38,1958,2610,11400,8235,5181,100.00,100.00,50.00,100.00,0.750,0.172,0.238,0.378
values_41,42688,51006,235184,169983,99487,100.00,100.00,50.00,100.00,0.837,0.182,0.251,0.429
values_73,1068,1479,6305,4572,2932,100.00,100.00,50.00,100.00,0.722,0.169,0.234,0.364
values_66,1068,1479,6305,4572,2932,100.00,100.00,50.00,100.00,0.722,0.169,0.234,0.364
values_58,139579,160456,745939,540793,313787,100.00,100.00,50.00,100.00,0.870,0.187,0.258,0.445
values_70,3348,4330,19213,13855,8583,100.00,100.00,50.00,100.00,0.773,0.174,0.242,0.390
values_46,89936,105405,488723,353910,205912,100.00,100.00,50.00,100.00,0.853,0.184,0.254,0.437
values_11,14194,21060,96215,69405,41023,100.00,100.00,50.00,100.00,0.674,0.148,0.205,0.346
values_33,59,180,608,461,411,100.00,100.00,50.00,100.00,0.328,0.097,0.128,0.144
