ID_VAL,DSP,BRAM,Flip_Flop,Area,min_Slack,Max_Freq,Clock_Cycles
values_84,0.0,16.0,405.0,5913.0,1.1102230246251565e-16,232.6934264107044,5741.0
values_30,0.0,16.0,526.0,6094.0,1.1102230246251565e-16,232.69342641070364,14636.0
values_96,0.0,16.0,440.0,5974.0,1.1102230246251565e-16,232.6934264107044,6361.0
values_15,0.0,32.0,1939.0,8828.0,1.1102230246251565e-16,201.24773592246964,1552.0
values_16,0.0,32.0,1726.0,8427.666666666668,1.1102230246251565e-16,201.24773592246964,1317.0
values_94,0.0,16.0,526.0,6094.0,1.1102230246251565e-16,232.69342641070364,14662.0
values_90,0.0,16.0,440.0,5974.0,1.1102230246251565e-16,232.6934264107044,6356.0
values_52,0.0,32.0,1617.0,9228.0,1.1102230246251565e-16,201.24773592246964,109.0
values_78,0.0,16.0,537.0,6089.0,1.1102230246251565e-16,214.15110497384165,12834.0
values_20,0.0,16.0,476.0,5992.0,1.1102230246251565e-16,232.6934264107044,8983.0
values_53,0.0,32.0,2905.0,10232.666666666668,1.1102230246251565e-16,201.24773592246964,3064.0
values_43,0.0,16.0,405.0,5913.0,1.1102230246251565e-16,232.6934264107044,5732.0
values_42,0.0,16.0,317.0,5429.0,1.1102230246251565e-16,219.6740037301358,25.0
values_0,0.0,16.0,440.0,5956.0,1.1102230246251565e-16,232.6934264107044,8243.0
values_61,0.0,16.0,485.0,6028.0,1.1102230246251565e-16,232.6934264107044,11958.0
values_97,0.0,16.0,476.0,5992.0,1.1102230246251565e-16,232.6934264107044,8952.0
values_14,0.0,16.0,440.0,5974.0,1.1102230246251565e-16,232.6934264107044,6352.0
values_87,0.0,16.0,485.0,6028.0,1.1102230246251565e-16,232.6934264107044,11970.0
values_50,0.0,32.0,1164.0,7480.166666666666,1.1102230246251565e-16,201.81634708338692,706.0
values_83,0.0,16.0,511.0,6114.0,1.1102230246251565e-16,232.6934264107044,8106.0
values_67,0.0,16.0,471.0,6102.0,1.1102230246251565e-16,232.6934264107044,5546.0
values_86,0.0,16.0,468.0,5966.0,1.1102230246251565e-16,232.6934264107044,14552.0
values_23,0.0,16.0,485.0,6028.0,1.1102230246251565e-16,232.6934264107044,11954.0
values_64,0.0,32.0,900.0,6984.0,1.1102230246251565e-16,209.248796775633,414.0
values_44,0.0,16.0,545.0,6115.0,1.1102230246251565e-16,214.15110497384165,11153.0
values_71,0.0,32.0,900.0,6984.0,1.1102230246251565e-16,209.248796775633,413.0
values_93,0.0,16.0,471.0,6102.0,1.1102230246251565e-16,232.6934264107044,5554.0
values_88,0.0,16.0,526.0,6094.0,1.1102230246251565e-16,232.69342641070364,14615.0
values_26,0.0,16.0,885.0,7321.0,1.1102230246251565e-16,201.81634700192754,60.0
values_59,0.0,16.0,485.0,6028.0,1.1102230246251565e-16,232.6934264107044,11962.0
values_57,0.0,32.0,2427.0,9697.0,1.1102230246251565e-16,201.24773592246964,2391.0
values_82,0.0,32.0,1164.0,7480.166666666666,1.1102230246251565e-16,201.81634708338692,700.0
values_75,0.0,32.0,2427.0,9697.0,1.1102230246251565e-16,201.24773592246964,2387.0
values_51,0.0,16.0,476.0,5992.0,1.1102230246251565e-16,232.6934264107044,8964.0
values_7,0.0,16.0,489.0,6008.0,1.1102230246251565e-16,232.69342641070364,9674.0
values_92,0.0,16.0,317.0,5429.0,1.1102230246251565e-16,219.6740037301358,25.0
values_56,0.0,16.0,317.0,5429.0,1.1102230246251565e-16,219.6740037301358,25.0
values_47,0.0,16.0,476.0,5992.0,1.1102230246251565e-16,232.6934264107044,8966.0
values_95,0.0,32.0,2427.0,9697.0,1.1102230246251565e-16,201.24773592246964,2394.0
values_98,0.0,32.0,2250.0,9439.0,1.1102230246251565e-16,201.24773592246964,2092.0
values_8,0.0,32.0,1164.0,7480.166666666666,1.1102230246251565e-16,201.81634708338692,701.0
values_18,0.0,16.0,471.0,6102.0,1.1102230246251565e-16,232.6934264107044,5548.0
values_28,0.0,16.0,405.0,5913.0,1.1102230246251565e-16,232.6934264107044,5746.0
