id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,5813,1369,15931,8318,4260,100.00,100.00,100.00,100.00,4.246,0.365,0.699,1.365
values_30,24134,4850,60612,30535,15693,100.00,100.00,100.00,100.00,4.976,0.398,0.790,1.538
values_96,11638,2594,31564,16095,8253,100.00,100.00,100.00,100.00,4.487,0.369,0.723,1.410
values_15,29455,6267,78759,39578,20330,100.00,100.00,100.00,100.00,4.700,0.374,0.744,1.449
values_16,4312,1056,11954,6322,3242,100.00,100.00,100.00,100.00,4.083,0.361,0.682,1.330
values_94,5825,1369,15919,8321,4257,100.00,100.00,100.00,100.00,4.255,0.366,0.700,1.368
values_90,29570,5896,74002,37208,19114,100.00,100.00,100.00,100.00,5.015,0.400,0.795,1.547
values_52,16372,3362,41400,20980,10766,100.00,100.00,100.00,100.00,4.870,0.395,0.780,1.521
values_78,24148,4856,60646,30555,15697,100.00,100.00,100.00,100.00,4.973,0.398,0.790,1.538
values_20,2472,676,7148,3887,2009,100.00,100.00,100.00,100.00,3.657,0.346,0.636,1.230
values_53,27708,5536,69380,34913,17933,100.00,100.00,100.00,100.00,5.005,0.399,0.794,1.545
values_43,14090,3088,37908,19263,9879,100.00,100.00,100.00,100.00,4.563,0.372,0.731,1.426
values_42,185,179,1005,766,476,100.00,100.00,91.67,100.00,1.034,0.184,0.242,0.389
values_0,19572,4218,52438,26491,13599,100.00,100.00,100.00,100.00,4.640,0.373,0.739,1.439
values_61,3030,790,8590,4622,2380,100.00,100.00,100.00,100.00,3.835,0.353,0.656,1.273
values_97,27752,5524,69240,34891,17907,100.00,100.00,100.00,100.00,5.024,0.401,0.795,1.550
values_14,11237,2363,28611,14617,7497,100.00,100.00,100.00,100.00,4.755,0.393,0.769,1.499
values_87,185,179,1005,766,476,100.00,100.00,91.67,100.00,1.034,0.184,0.242,0.389
values_50,11274,2360,28550,14618,7484,100.00,100.00,100.00,100.00,4.777,0.395,0.771,1.506
values_83,7527,1727,20511,10603,5433,100.00,100.00,100.00,100.00,4.358,0.367,0.710,1.385
values_67,29529,5903,74099,37217,19133,100.00,100.00,100.00,100.00,5.002,0.399,0.793,1.543
values_86,8449,1937,23155,11889,6099,100.00,100.00,100.00,100.00,4.362,0.365,0.711,1.385
values_23,19588,4202,52294,26451,13575,100.00,100.00,100.00,100.00,4.662,0.375,0.741,1.443
values_64,11237,2355,28547,14595,7487,100.00,100.00,100.00,100.00,4.772,0.394,0.770,1.501
values_44,19543,4217,52459,26481,13605,100.00,100.00,100.00,100.00,4.634,0.373,0.738,1.436
