id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,34,100,1370,874,16983,100.00,100.00,50.00,100.00,0.340,0.025,0.039,0.002
values_30,4031,1780,28540,18145,83436,100.00,100.00,75.00,100.00,2.265,0.141,0.222,0.048
values_96,14,36,329,184,363,100.00,100.00,75.00,100.00,0.389,0.043,0.076,0.039
values_15,2539,1324,21190,13501,44500,100.00,100.00,75.00,100.00,1.918,0.120,0.188,0.057
values_16,1074,2136,34469,21964,15512,100.00,100.00,75.00,100.00,0.503,0.031,0.049,0.069
values_94,1068,2128,34390,21934,15489,100.00,100.00,50.00,100.00,0.502,0.031,0.049,0.069
values_90,28,90,1010,562,4769,100.00,100.00,87.50,100.00,0.311,0.028,0.050,0.006
values_52,363,444,6857,4360,19828,100.00,100.00,75.00,100.00,0.818,0.053,0.083,0.018
values_78,439,504,7830,4981,24303,100.00,100.00,75.00,100.00,0.871,0.056,0.088,0.018
values_20,1800,948,15054,9589,19076,100.00,100.00,75.00,100.00,1.899,0.120,0.188,0.094
values_53,1068,2128,34390,21934,15489,100.00,100.00,50.00,100.00,0.502,0.031,0.049,0.069
values_43,341,380,5871,3751,15745,100.00,100.00,50.00,100.00,0.897,0.058,0.091,0.022
values_42,47,136,1894,1189,31483,100.00,100.00,75.00,100.00,0.346,0.025,0.040,0.001
values_0,436,496,7751,4951,24075,100.00,100.00,50.00,100.00,0.879,0.056,0.088,0.018
values_61,1569,1036,16489,10504,24316,100.00,100.00,75.00,100.00,1.514,0.095,0.149,0.065
values_97,12,56,678,430,3608,100.00,100.00,50.00,100.00,0.214,0.018,0.028,0.003
values_14,2175,1444,23047,14644,52896,100.00,100.00,75.00,100.00,1.506,0.094,0.149,0.041
values_87,341,380,5871,3751,15745,100.00,100.00,50.00,100.00,0.897,0.058,0.091,0.022
values_50,1581,1052,16647,10564,24356,100.00,100.00,75.00,100.00,1.503,0.095,0.150,0.065
values_83,341,380,5871,3751,15745,100.00,100.00,50.00,100.00,0.897,0.058,0.091,0.022
values_67,270,296,4413,2779,9943,100.00,100.00,75.00,100.00,0.912,0.061,0.097,0.027
values_86,360,436,6778,4330,19615,100.00,100.00,50.00,100.00,0.826,0.053,0.083,0.018
values_23,184,328,5030,3214,12423,100.00,100.00,50.00,100.00,0.561,0.037,0.057,0.015
