ID_VAL,DSP,BRAM,Flip_Flop,Area,min_Slack,Max_Freq,Clock_Cycles
values_84,2.0,64.0,712.0,11041.0,1.1102230246251565e-16,209.16126324653365,284.0
values_30,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6324.0
values_96,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6319.0
values_15,8.0,32.0,741.0,10943.0,1.1102230246251565e-16,209.16126324653365,2476.0
values_16,2.0,32.0,917.0,11159.0,1.1102230246251565e-16,209.16126324653365,5263.0
values_94,2.0,32.0,821.0,11066.0,1.1102230246251565e-16,209.16126324653365,2959.0
values_90,2.0,64.0,712.0,11041.0,1.1102230246251565e-16,209.16126324653365,196.0
values_52,0.0,64.0,442.0,10708.0,1.1102230246251565e-16,209.16126324653365,130.0
values_78,2.0,32.0,785.0,11054.0,1.1102230246251565e-16,209.16126324653365,875.0
values_20,0.0,64.0,442.0,10708.0,1.1102230246251565e-16,209.16126324653365,147.0
values_53,8.0,32.0,752.0,10962.0,1.1102230246251565e-16,209.16126324653365,4204.0
values_43,0.0,32.0,450.0,10725.0,1.1102230246251565e-16,209.16126324653365,491.0
values_42,0.0,32.0,450.0,10725.0,1.1102230246251565e-16,209.16126324653365,501.0
values_0,0.0,32.0,524.0,10738.0,1.1102230246251565e-16,209.16126324653365,5852.0
values_61,8.0,32.0,752.0,10962.0,1.1102230246251565e-16,209.16126324653365,4189.0
values_97,8.0,32.0,780.0,11024.0,1.1102230246251565e-16,209.16126324653365,4564.0
values_14,8.0,32.0,800.0,10955.0,1.1102230246251565e-16,209.16126324653365,5647.0
values_87,12.0,32.0,815.0,11065.0,1.1102230246251565e-16,209.16126324653365,6011.0
values_50,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6339.0
values_83,8.0,32.0,767.0,11030.0,1.1102230246251565e-16,209.16126324653365,3629.0
values_67,2.0,32.0,822.0,11118.0,1.1102230246251565e-16,209.16126324653365,3286.0
values_86,8.0,32.0,717.0,10950.0,1.1102230246251565e-16,209.16126324653365,1230.0
values_23,0.0,32.0,877.0,11328.0,1.1102230246251565e-16,200.08003181264505,1889.0
values_64,8.0,32.0,735.0,11006.0,1.1102230246251565e-16,209.16126324653365,1108.0
values_44,4.0,32.0,793.0,11022.0,1.1102230246251565e-16,209.16126324653365,3896.0
values_71,0.0,32.0,487.0,10726.0,1.1102230246251565e-16,209.16126324653365,1683.0
values_93,0.0,32.0,487.0,10726.0,1.1102230246251565e-16,209.16126324653365,1618.0
values_88,4.0,32.0,793.0,11022.0,1.1102230246251565e-16,209.16126324653365,3846.0
values_26,2.0,32.0,822.0,11118.0,1.1102230246251565e-16,209.16126324653365,3266.0
values_59,0.0,32.0,1002.0,11352.0,1.1102230246251565e-16,200.08003181264505,4836.0
values_57,0.0,32.0,928.0,11348.0,1.1102230246251565e-16,200.08003181264505,6761.0
values_82,8.0,32.0,752.0,10962.0,1.1102230246251565e-16,209.16126324653365,4164.0
values_75,2.0,32.0,785.0,11054.0,1.1102230246251565e-16,209.16126324653365,899.0
values_51,2.0,64.0,712.0,11041.0,1.1102230246251565e-16,209.16126324653365,196.0
values_7,8.0,32.0,717.0,10950.0,1.1102230246251565e-16,209.16126324653365,1187.0
values_92,8.0,32.0,780.0,11024.0,1.1102230246251565e-16,209.16126324653365,4564.0
values_56,8.0,32.0,767.0,11030.0,1.1102230246251565e-16,209.16126324653365,3674.0
values_47,8.0,32.0,717.0,10962.0,1.1102230246251565e-16,209.16126324653365,499.0
values_95,8.0,32.0,767.0,11030.0,1.1102230246251565e-16,209.16126324653365,3614.0
values_98,2.0,32.0,846.0,11138.0,1.1102230246251565e-16,209.16126324653365,2729.0
values_8,0.0,32.0,972.0,11328.0,1.1102230246251565e-16,200.08003181264505,1401.0
values_18,8.0,32.0,682.0,10947.0,1.1102230246251565e-16,209.16126324653365,396.0
values_28,2.0,32.0,821.0,11066.0,1.1102230246251565e-16,209.16126324653365,2969.0
values_81,8.0,32.0,800.0,10955.0,1.1102230246251565e-16,209.16126324653365,5612.0
values_17,2.0,64.0,712.0,11041.0,1.1102230246251565e-16,209.16126324653365,284.0
values_38,8.0,32.0,705.0,10935.0,1.1102230246251565e-16,209.16126324653365,749.0
values_41,0.0,32.0,487.0,10726.0,1.1102230246251565e-16,209.16126324653365,1673.0
values_73,2.0,32.0,822.0,11118.0,1.1102230246251565e-16,209.16126324653365,3236.0
values_66,8.0,32.0,682.0,10947.0,1.1102230246251565e-16,209.16126324653365,381.0
values_58,2.0,32.0,821.0,11066.0,1.1102230246251565e-16,209.16126324653365,2964.0
values_70,8.0,32.0,705.0,10935.0,1.1102230246251565e-16,209.16126324653365,734.0
values_46,0.0,32.0,1002.0,11352.0,1.1102230246251565e-16,200.08003181264505,4946.0
values_11,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6294.0
values_33,2.0,64.0,712.0,11041.0,1.1102230246251565e-16,209.16126324653365,284.0
values_72,4.0,32.0,793.0,11022.0,1.1102230246251565e-16,209.16126324653365,3896.0
values_6,12.0,32.0,815.0,11065.0,1.1102230246251565e-16,209.16126324653365,6101.0
values_10,8.0,32.0,705.0,10935.0,1.1102230246251565e-16,209.16126324653365,754.0
values_27,2.0,32.0,821.0,11066.0,1.1102230246251565e-16,209.16126324653365,2979.0
values_24,12.0,32.0,815.0,11065.0,1.1102230246251565e-16,209.16126324653365,6065.0
values_3,4.0,32.0,793.0,11022.0,1.1102230246251565e-16,209.16126324653365,3836.0
values_69,0.0,32.0,928.0,11348.0,1.1102230246251565e-16,200.08003181264505,6741.0
values_36,0.0,32.0,928.0,11348.0,1.1102230246251565e-16,200.08003181264505,6656.0
values_21,0.0,32.0,928.0,11348.0,1.1102230246251565e-16,200.08003181264505,6731.0
values_5,0.0,32.0,450.0,10725.0,1.1102230246251565e-16,209.16126324653365,501.0
values_49,2.0,32.0,917.0,11159.0,1.1102230246251565e-16,209.16126324653365,5233.0
values_1,8.0,32.0,800.0,10955.0,1.1102230246251565e-16,209.16126324653365,5702.0
values_2,8.0,32.0,752.0,10962.0,1.1102230246251565e-16,209.16126324653365,4259.0
values_13,0.0,64.0,442.0,10708.0,1.1102230246251565e-16,209.16126324653365,147.0
values_32,8.0,32.0,800.0,10955.0,1.1102230246251565e-16,209.16126324653365,5552.0
values_39,0.0,32.0,450.0,10725.0,1.1102230246251565e-16,209.16126324653365,486.0
values_4,2.0,32.0,785.0,11054.0,1.1102230246251565e-16,209.16126324653365,864.0
values_65,2.0,64.0,704.0,11022.0,1.1102230246251565e-16,209.16126324653365,130.0
values_85,0.0,32.0,763.0,11090.0,1.1102230246251565e-16,200.08003185267705,2236.0
values_62,2.0,32.0,822.0,11118.0,1.1102230246251565e-16,209.16126324653365,3311.0
values_91,8.0,32.0,780.0,11024.0,1.1102230246251565e-16,209.16126324653365,4589.0
values_25,2.0,32.0,846.0,11138.0,1.1102230246251565e-16,209.16126324653365,2779.0
values_63,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6339.0
values_12,8.0,32.0,780.0,11024.0,1.1102230246251565e-16,209.16126324653365,4559.0
values_79,8.0,32.0,705.0,10935.0,1.1102230246251565e-16,209.16126324653365,764.0
values_54,8.0,32.0,705.0,10935.0,1.1102230246251565e-16,209.16126324653365,784.0
values_9,2.0,64.0,704.0,11022.0,1.1102230246251565e-16,209.16126324653365,130.0
values_74,0.0,32.0,450.0,10725.0,1.1102230246251565e-16,209.16126324653365,496.0
values_22,2.0,64.0,704.0,11022.0,1.1102230246251565e-16,209.16126324653365,93.0
values_89,0.0,32.0,763.0,11090.0,1.1102230246251565e-16,200.08003185267705,2191.0
values_48,8.0,32.0,682.0,10947.0,1.1102230246251565e-16,209.16126324653365,381.0
values_99,8.0,32.0,735.0,11006.0,1.1102230246251565e-16,209.16126324653365,1093.0
values_60,8.0,32.0,800.0,10955.0,1.1102230246251565e-16,209.16126324653365,5642.0
values_34,8.0,32.0,780.0,11024.0,1.1102230246251565e-16,209.16126324653365,4559.0
values_31,8.0,32.0,735.0,11006.0,1.1102230246251565e-16,209.16126324653365,1073.0
values_37,8.0,32.0,717.0,10962.0,1.1102230246251565e-16,209.16126324653365,499.0
values_76,0.0,32.0,929.0,11352.0,1.1102230246251565e-16,200.08003181264505,6354.0
values_19,0.0,32.0,877.0,11328.0,1.1102230246251565e-16,200.08003181264505,1794.0
values_45,12.0,32.0,815.0,11065.0,1.1102230246251565e-16,209.16126324653365,6071.0
